appartamento,آ-پار-تا-مِن-تُ,آپارمان,Vivo در یک آپارتمان.
terrazzo,تِر-رات-تُ,تراس / بالکن,Il terrazzo è grande.
cucina,کو-چی-نا,آشپزخانه,La cucina è nuova.
salotto,سا-لُت-تُ,پذیرایی,Guardo la TV در سالن.
camera da letto,کا-مِ-را دا لِت-تُ,اتاق خواب,Dormo در اتاق خواب.
bagno,با-نیو,حمام / دستشویی,Il bagno è pulito.
doccia,دُت-چا,دوش,Faccio una doccia.
vasca,واس-کا,وان,Mi rilasso در وان.
frigo,فری-گُ,یخچال,Il frigo è vuoto.
tavolo,تا-وُ-لُ,میز,Il tavolo è di legno.
armadietto,آر-ما-دی-یِت-تُ,کمد کوچک / کابینت,L'armadietto è chiuso.
forno,فُر-نُ,فر / اجاق,Il pane è nel forno.
divano,دی-وا-نُ,مبل,Siedo روی مبل.
armadio,آر-ما-دیُ,کمد لباس,I vestiti هستند در کمد.
tappeto,تاپ-پِ-تُ,فرش,Il tappeto è persiano.
lavandino,لا-وان-دی-نُ,روشویی / سینک,Lavo le mani در سینک.
quadro,کوآ-درُ,تابلو,Il quadro è bello.
scaffale,اس-کاف-فا-لِ,قفسه,Il libro è روی قفسه.
tavolino,تا-وُ-لی-نُ,میز جلو مبلی,Il caffè è روی میز.
comodino,کُ-مُ-دی-نُ,میز پاتختی,La lampada است روی میز پاتختی.
cassettone,کاس-سِت-تُ-نِ,دراور,I calzini هستند در دراور.
letto matrimoniale,لِت-تُ ما-تری-مُ-نیا-لِ,تخت دو نفره,Il letto matrimoniale è comodo.
specchio,اس-پِک-کیُ,آینه,Mi guardo در آینه.
tende,تِن-دِ,پرده‌ها,Le tende هستند سبز.
stereo,استِ-رِ-ایُ,استریو / ضبط,Accendo lo stereo.
gabinetto,گا-بی-نِت-تُ,توالت,Dov'è il gabinetto?
libreria,لی-برِ-ریا,کتابخانه (قفسه),La mia libreria è piena.
lavastoviglie,لا-واس-تُ-وی-لیِ,ماشین ظرفشویی,Uso la lavastoviglie.
scrivania,اس-کری-وا-نیا,میز تحریر,Studio روی میز تحریر.
lavatrice,لا-وا-تری-چِ,ماشین لباسشویی,La lavatrice è rotta.
orto,اُر-تُ,باغچه سبزیجات,Ho un piccolo orto.
quartiere,کوآر-تی-یِ-رِ,محله,Il mio quartiere è tranquillo.
centro,چِن-ترُ,مرکز شهر,Vado در مرکز شهر.
periferia,پِ-ری-فِ-ریا,حاشیه شهر,Abito در حاشیه شهر.
zona industriale,دُ-نا این-دوس-تریا-لِ,منطقه صنعتی,La fabbrica è در منطقه صنعتی.
aria,آ-ریا,هوا,L'aria è fresca.
strade,استرا-دِ,خیابان‌ها,Le strade هستند شلوغ.
marciapiedi,مار-چا-پی-یِ-دی,پیاده‌روها,Cammino روی پیاده‌رو.
strisce pedonali,استریس-چِ پِ-دُ-نا-لی,خط کشی عابر,Uso le strisce pedonali.
mezzi di trasporto,مِد-دِ دی تراس-پُر-تُ,وسایل نقلیه,Prendo i mezzi di trasporto.
pedoni,پِ-دُ-نی,عابران پیاده,Attenzione ai pedoni!
attività culturali,ات-تی-وی-تا کول-تو-را-لی,فعالیت‌های فرهنگی,Ci sono molte attività culturali.
manifestazioni,ما-نی-فس-تا-دسی-اُ-نی,رویدادها / تظاهرات,Partecipiamo alle manifestazioni.
negozi,نِ-گُ-دسی,مغازه‌ها,I negozi هستند باز.
area,آ-رِ-آ,ناحیه / منطقه,Questa è un'area verde.
spazio,سپات-سیُ,فضا,C'è molto spazio.
fuori,فو-اُ-ری,بیرون,Andiamo fuori.
inquinata,این-کوئی-نا-تا,آلوده,La città è inquinata.
sicure,سی-کو-رِ,امن (مونث جمع),Le strade هستند امن.
insicure,این-سی-کو-رِ,ناامن,Le zone هستند ناامن.
violenza,وی-اُ-لِن-دسا,خشونت,No alla violenza.
sicurezza,سی-کو-رِت-تسا,امنیت,La sicurezza است مهم.
camicia,کا-می-چا,پیراهن,Metto la camicia.
gonna,گُن-نا,دامن,La gonna è lunga.
giacca,جاک-کا,کت / کاپشن,Prendo la giacca.
maglione,ما-لی-اُ-نِ,پلیور,Il maglione è caldo.
asciugamano,آ-شو-گا-ما-نُ,حوله,L'asciugamano è asciutto.
prosciutto,پرو-شوت-تُ,ژامبون,Mangio un panino al prosciutto.
carciofi,کار-چُ-فی,کنگر فرنگی,Mi piacciono i carciofi.
tagliatelle,تال-یا-تِل-لِ,نوعی پاستا,Cucino le tagliatelle.
salumiere,سا-لو-می-یِ-رِ,کالباس فروش,Vado dal salumiere.
salumeria,سا-لو-می-ریا,پروتئینی,La salumeria è chiusa.
mercato,مِر-کا-تُ,بازار,Vado al mercato.
latteria,لات-تِ-ریا,لبنیاتی,Compro il latte در لبنیاتی.
panettiere,پا-نِت-تی-یِ-رِ,نانوا,Il panettiere fa il pane.
carciofi ripieni,کار-چُ-فی ری-پی-یِ-نی,کنگر فرنگی شکم‌پر,Amo i carciofi ripieni.
alta,آل-تا,قد بلند (مونث),Lei è molto alta.
capelli,کا-پِل-لی,موها,Ho i capelli neri.
castani,کاس-تا-نی,قهوه‌ای / خرمایی,I suoi occhi هستند قهوه‌ای.
gialli,جال-لی,زردها,I fiori هستند زرد.
raccolti,راک-کُل-تی,جمع شده (مو),Porto i capelli raccolti.
coda di cavallo,کُ-دا دی کا-وال-لُ,مو دم‌اسبی,Faccio la coda di cavallo.
frangia,فران-جا,چتری (مو),Lei ha la frangia.
castana,کاس-تا-نا,خرمایی (مونث),Lei è castana.
carattere,کا-رات-تِ-رِ,شخصیت,Lui ha un buon carattere.
personalità,پِر-سُ-نا-لی-تا,شخصیت / ویژگی فردی,Ha una forte personalità.
umore,او-مُ-رِ,خلق و خو / حال,Oggi sono di buon umore.
allegra,آل-لِ-گرا,شاد,Maria è molto allegra.
sincera,سین-چِ-را,صادق,Sei una persona sincera.
bugiarda,بو-جار-دا,دروغگو,Non essere bugiarda.
onesto,اُ-نِس-تُ,شریف / درستکار,Un uomo onesto.
chiacchierona,کیاک-کیِ-رُ-نا,وراج / پرحرف,Mia sorella è chiacchierona.
timida,تی-می-دا,خجالتی,Una ragazza timida.
chiusa,کیو-زا,تودار / بسته,Lei è molto chiusa.
frottole,فرُت-تُ-لِ,اراجیف / خالی‌بندی,Racconti solo frottole.
bugia,بو-جیا,دروغ,Dire una bugia.
libri,لی-بری,کتاب‌ها,Leggo molti libri.
poesie,پُ-ای-دی-ای,اشعار,Scrivo poesie.
gialli,جال-لی,کتاب‌های جنایی,Amo leggere i gialli.
d’avventura,دا-وِن-تو-را,ماجراجویی,Un film d'avventura.
pomodoro,پُ-مُ-دُ-رُ,گوجه فرنگی,Un pomodoro rosso.
melanzana,مِ-لان-دسا-نا,بادمجان,Cucino la melanzana.
insalata,این-سا-لا-تا,سالاد / کاهو,Mangio un'insalata.
albicocca,آل-بی-کُک-کا,زردآلو,L'albicocca è dolce.
peperone,پِ-پِ-رُ-نِ,فلفل دلمه,Il peperone è verde.
università,او-نی-وِر-سی-تا,دانشگاه,Vado all'università.
studente,استو-دِن-تِ,دانشجو,Sono uno studente.
secondo anno,سِ-کُن-دُ آن-نُ,سال دوم,Sono al secondo anno.
ingegneria,این-جِ-نیِ-ریا,مهندسی,Studio ingegneria.
borsa di studio,بُر-سا دی استو-دیُ,بورسیه تحصیلی,Ho vinto una borsa di studio.
Erasmus,اِ-راس-موس,طرح تبادل دانشجو ارسموس,Faccio l'Erasmus in Italia.
tirocinio,تی-رُ-چی-نیُ,کارآموزی,Faccio un tirocinio.
segreteria studenti,سِ-گرِ-تِ-ریا استو-دِن-تی,آموزش / دبیرخانه دانشجویی,Vado in segreteria.
lavoro,لا-وُ-رُ,کار,Cerco un lavoro.
riunione,ری-او-نی-اُ-نِ,جلسه,Ho una riunione alle dieci.
festa,فِس-تا,جشن / مهمانی,Andiamo alla festa.
compiti,کُم-پی-تی,تکالیف,Faccio i compiti.
famiglia,فا-می-لیا,خانواده,Amo la mia famiglia.
genitori,جِ-نی-تُ-ری,والدین,I miei genitori هستند مهربان.
esame,اِ-زا-مِ,امتحان,Ho un esame domani.
abitare,آ-بی-تا-رِ,ساکن بودن,Abito a Milano.
essere,اِس-سِ-رِ,بودن,Voglio essere felice.
avere,آ-وِ-رِ,داشتن,Ho fame.
fare,فا-رِ,انجام دادن,Cosa fai?
dire,دی-رِ,گفتن,Dimmi la verità.
andare,ان-دا-رِ,رفتن,Vado a casa.
venire,وِ-نی-رِ,آمدن,Vieni con me?
rimanere,ری-ما-نِ-رِ,ماندن,Rimango qui.
partire,پار-تی-رِ,ترک کردن / عزیمت,Parto per Roma.
tornare,تُر-نا-رِ,برگشتن,Torno subito.
trasferirsi,تراس-فِ-ریر-سی,نقل مکان کردن,Mi trasferisco a Parigi.
frequentare,فرِ-کوئِن-تا-رِ,تردد داشتن / شرکت کردن,Frequento un corso.
studiare,استو-دیا-رِ,درس خواندن,Devo studiare.
prendere,پرِن-دِ-رِ,گرفتن,Prendo il caffè.
visitare,وی-دی-تا-رِ,بازدید کردن,Visito un museo.
mangiare,مان-جا-رِ,خوردن,Mangio una pizza.
pagare,پا-گا-رِ,پرداختن,Pago من حساب می‌کنم.
finire,فی-نی-رِ,تمام کردن,Finisco il lavoro.
concludere,کُن-کلو-دِ-رِ,به پایان رساندن,Concludo la ricerca.
telefonare,تِ-لِ-فُ-نا-رِ,تلفن زدن,Telefono a mia madre.
mancare,مان-کا-رِ,دلتنگ شدن / کم بودن,Mi manchi.
chiamare,کیا-ما-رِ,صدا زدن / نامیدن,Mi chiamo Ali.
correre,کُر-رِ-رِ,دویدن,Corro nel parco.
comprare,کُم-پرا-رِ,خریدن,Compro یک هدیه.
vivere,وی-وِ-رِ,زندگی کردن,Vivo bene.
conoscere,کُ-نُ-شِ-رِ,شناختن,Conosco Maria.
parlare,پار-لا-رِ,صحبت کردن,Parlo italiano.
entrare,اِن-ترا-رِ,وارد شدن,Entro در خانه.
uscire,او-شی-رِ,خارج شدن,Esco با دوستان.
rilassarsi,ری-لاس-سار-سی,استراحت کردن,Mi rilasso.
addormentarsi,اد-دُر-مِن-تار-سی,به خواب رفتن,Mi addormento subito.
giocare,جُ-کا-رِ,بازی کردن,Gioco a calcio.
nascondino,نا-سکُن-دی-نُ,قایم باشکک,Giochiamo a nascondino.
restare,رِس-تا-رِ,باقی ماندن,Resto a casa.
sbrigarsi,سبری-گار-سی,عجله کردن,Sbrigati!
chiudere,کیو-دِ-رِ,بستن,Chiudo la porta.
sempre,سِم-پرِ,همیشه,Sempre insieme.
spesso,سپِس-سُ,اغلب,Vado spesso al cinema.
già,جا,قبلاً / در حال حاضر,Ho già mangiato.
ancora,آن-کُ-را,هنوز,Non è ancora pronto.
molto,مُل-تُ,خیلی,Molto bene.
facilmente,فا-چیل-مِن-تِ,به راحتی,Si rompe facilmente.
forse,فُر-سِ,شاید,Forse vengo.
davanti a,دا-وان-تی آ,جلویِ,Davanti alla chiesa.
a fianco,آ فیان-کُ,در کنار,A fianco della banca.
in fretta,این فرِت-تا,با عجله,Vado in fretta.
da sei mesi,دا سِی مِ-دی,از ۶ ماه پیش,Studio da sei mesi.
per tre anni,پِر ترِ آن-نی,به مدت ۳ سال,Ho vissuto lì per tre anni.
ogni fine settimana,اُ-نی فی-نِ سِت-تی-ما-نا,هر آخر هفته,Vado al mare ogni fine settimana.
appena,آپ-پِ-نا,به محض اینکه / فقط,Sono appena arrivato.
mentre,مِن-ترِ,در حالی که,Mangio mentre studio.
davanti,دا-وان-تی,جلو,Guarda davanti.
sopra,سُ-پرا,رویِ / بالا,Il gatto è sopra il tavolo.
vicino,وی-چی-نُ,نزدیک,Abito vicino.
lontano,لُن-تا-نُ,دور,Lontano da qui.
finora,فی-نُ-را,تا حالا,Finora tutto bene.
nonostante,نُ-نُ-ستان-تِ,علیرغم,Vengo nonostante la pioggia.
infatti,این-فات-تی,در واقع / در حقیقت,Infatti hai ragione.
Complimenti!,کم-پلی-مِن-تی,تبریک!,Complimenti per il lavoro!
In bocca al lupo!,این بُک-کا آل لو-پُ,موفق باشی,In bocca al lupo per l'esame!
Buona fortuna!,بو-اُ-نا فُر-تو-نا,خوش‌شانس باشی,Buona fortuna per tutto.
Buon appetito!,بُ-اُن آپ-پِ-تی-تُ,نوش جان!,Buon appetito a tutti.
Buon viaggio!,بُ-اُن وی-آج-جُ,سفر بخیر!,Buon viaggio in Italia.
Sta per,استا پِر,در آستانه ...,Sta per piovere.
Avere bisogno di,آ-وِ-رِ بی-دُ-نیُ دی,نیاز داشتن به,Ho bisogno di aiuto.
Che bassi,کِ باس-سی,چقدر کم / چقدر کوتاه,Guarda che bassi!
Risulta che,ری-زول-تا کِ,به نظر می‌رسد که / معلوم شده که,Risulta che è vero.